date_id,date
1142,15-Feb-11
1143,16-Feb-11
1144,17-Feb-11
1145,18-Feb-11
1146,19-Feb-11
1147,20-Feb-11
1148,21-Feb-11
1149,22-Feb-11
1150,23-Feb-11
1151,24-Feb-11
1152,25-Feb-11
1153,26-Feb-11
1154,27-Feb-11
1155,28-Feb-11
1156,1-Mar-11
1157,2-Mar-11
1158,3-Mar-11
1159,4-Mar-11
1160,5-Mar-11
1161,6-Mar-11
1162,7-Mar-11
1163,8-Mar-11
1164,9-Mar-11
1165,10-Mar-11
1166,11-Mar-11
1167,12-Mar-11
1168,13-Mar-11
1169,14-Mar-11
1170,15-Mar-11
1171,16-Mar-11
1172,17-Mar-11
1173,18-Mar-11
1174,19-Mar-11
1175,20-Mar-11
1176,21-Mar-11
1177,22-Mar-11
1178,23-Mar-11
1179,24-Mar-11
1180,25-Mar-11
1181,26-Mar-11
1182,27-Mar-11
1183,28-Mar-11
1184,29-Mar-11
1185,30-Mar-11
1186,31-Mar-11
1187,1-Apr-11
1188,2-Apr-11
1189,3-Apr-11
1190,4-Apr-11
1191,5-Apr-11
1192,6-Apr-11
1193,7-Apr-11
1194,8-Apr-11
1195,9-Apr-11
1196,10-Apr-11
1197,11-Apr-11
1198,12-Apr-11
1199,13-Apr-11
1200,14-Apr-11
1201,15-Apr-11
1202,16-Apr-11
1203,17-Apr-11
1204,18-Apr-11
1205,19-Apr-11
1206,20-Apr-11
1207,21-Apr-11
1208,22-Apr-11
1209,23-Apr-11
1210,24-Apr-11
1211,25-Apr-11
1212,26-Apr-11
1213,27-Apr-11
1214,28-Apr-11
1215,29-Apr-11
1216,30-Apr-11
1217,1-May-11
1218,2-May-11
1219,3-May-11
1220,4-May-11
1221,5-May-11
1222,6-May-11
1223,7-May-11
1224,8-May-11
1225,9-May-11
1226,10-May-11
1227,11-May-11
1228,12-May-11
1229,13-May-11
1230,14-May-11
1231,15-May-11
1232,16-May-11
1233,17-May-11
1234,18-May-11
1235,19-May-11
1236,20-May-11
1237,21-May-11
1238,22-May-11
1239,23-May-11
1240,24-May-11
1241,25-May-11
1242,26-May-11
1243,27-May-11
1244,28-May-11
1245,29-May-11
1246,30-May-11
1247,31-May-11
1248,1-Jun-11
1249,2-Jun-11
1250,3-Jun-11
1251,4-Jun-11
1252,5-Jun-11
1253,6-Jun-11
1254,7-Jun-11
1255,8-Jun-11
1256,9-Jun-11
1257,10-Jun-11
1258,11-Jun-11
1259,12-Jun-11
1260,13-Jun-11
1261,14-Jun-11
1262,15-Jun-11
1263,16-Jun-11
1264,17-Jun-11
1265,18-Jun-11
1266,19-Jun-11
1267,20-Jun-11
1268,21-Jun-11
1269,22-Jun-11
1270,23-Jun-11
1271,24-Jun-11
1272,25-Jun-11
1273,26-Jun-11
1274,27-Jun-11
1275,28-Jun-11
1276,29-Jun-11
1277,30-Jun-11
1278,1-Jul-11
1279,2-Jul-11
1280,3-Jul-11
1281,4-Jul-11
1282,5-Jul-11
1283,6-Jul-11
1284,7-Jul-11
1285,8-Jul-11
1286,9-Jul-11
1287,10-Jul-11
1288,11-Jul-11
1289,12-Jul-11
1290,13-Jul-11
1291,14-Jul-11
1292,15-Jul-11
1293,16-Jul-11
1294,17-Jul-11
1295,18-Jul-11
1296,19-Jul-11
1297,20-Jul-11
1298,21-Jul-11
1299,22-Jul-11
1300,23-Jul-11
1301,24-Jul-11
1302,25-Jul-11
1303,26-Jul-11
1304,27-Jul-11
1305,28-Jul-11
1306,29-Jul-11
1307,30-Jul-11
1308,31-Jul-11
1309,1-Aug-11
1310,2-Aug-11
1311,3-Aug-11
1312,4-Aug-11
1313,5-Aug-11
1314,6-Aug-11
1315,7-Aug-11
1316,8-Aug-11
1317,9-Aug-11
1318,10-Aug-11
1319,11-Aug-11
1320,12-Aug-11
1321,13-Aug-11
1322,14-Aug-11
1323,15-Aug-11
1324,16-Aug-11
1325,17-Aug-11
1326,18-Aug-11
